Order ID,Order Date,Region,Category,Sub-Category,Customer Name,Quantity,Discount,Sales,Profit
ORD-1037,2024-04-10,North,Office Supplies,Art,Customer_40,4,0.15,1211.62,180.17
ORD-1038,2023-08-11,East,Technology,Phones,Customer_81,1,0.0,387.92,28.01
ORD-1039,2024-08-21,South,Technology,Machines,Customer_15,9,0.0,1670.85,141.62
ORD-1040,2023-07-10,East,Technology,Phones,Customer_61,7,0.0,3030.44,718.18
ORD-1041,2024-08-06,West,Technology,Phones,Customer_21,7,0.2,963.98,-87.66
ORD-1042,2023-09-25,West,Technology,Accessories,Customer_62,5,0.3,568.33,-52.54
ORD-1043,2023-05-15,North,Office Supplies,Storage,Customer_19,1,0.4,220.51,-17.36
ORD-1044,2024-09-28,East,Furniture,Tables,Customer_130,5,0.0,2223.65,426.19
ORD-1045,2023-12-24,East,Furniture,Bookcases,Customer_73,3,0.4,123.48,-6.92
ORD-1046,2024-07-10,North,Technology,Phones,Customer_142,5,0.0,1913.9,417.96
ORD-1047,2023-05-18,North,Furniture,Chairs,Customer_142,3,0.15,988.81,77.26
ORD-1048,2023-10-16,West,Technology,Accessories,Customer_53,11,0.15,2488.41,144.98
ORD-1049,2024-06-01,South,Office Supplies,Binders,Customer_24,11,0.3,172.94,-27.26
ORD-1050,2023-10-11,East,Furniture,Bookcases,Customer_34,11,0.15,237.49,28.72
ORD-1051,2023-06-15,South,Technology,Copiers,Customer_144,1,0.0,164.03,33.23
ORD-1052,2023-03-19,Unknown,Technology,Phones,Customer_95,10,0.0,4547.1,567.42
ORD-1053,2024-03-16,West,Furniture,Bookcases,Customer_94,1,0.2,168.87,19.7
ORD-1054,2023-08-04,West,Technology,Phones,Customer_91,9,0.3,769.29,-128.4
ORD-1055,2024-09-27,West,Furniture,Tables,Customer_46,7,0.0,1063.86,104.65
ORD-1056,2023-07-03,North,Office Supplies,Paper,Customer_69,3,0.0,1396.65,408.43
ORD-1057,2024-01-27,East,Office Supplies,Paper,Customer_52,8,0.2,2050.37,310.5
ORD-1058,2023-11-09,West,Furniture,Chairs,Customer_50,7,0.2,2261.28,-122.17
ORD-1059,2023-10-13,East,Office Supplies,Storage,Customer_131,7,0.2,2505.16,129.77
ORD-1060,2023-01-29,East,Office Supplies,Paper,Customer_149,5,0.0,2028.25,646.66
ORD-1061,2023-04-22,South,Office Supplies,Storage,Customer_112,10,0.0,1658.2,137.66
ORD-1062,2024-01-30,West,Office Supplies,Binders,Customer_112,1,0.1,109.52,10.75
ORD-1063,2024-01-08,South,Furniture,Bookcases,Customer_81,11,0.0,4519.13,1392.88
ORD-1064,2023-11-04,North,Technology,Copiers,Customer_84,7,0.15,79.79,6.64
ORD-1065,2024-07-21,West,Furniture,Furnishings,Customer_98,11,0.0,2359.83,275.23
ORD-1066,2024-09-22,North,Office Supplies,Binders,Customer_78,5,0.1,309.29,22.05
ORD-1067,2024-03-16,North,Office Supplies,Art,Customer_114,11,0.1,4673.1,312.91
ORD-1068,2024-06-07,South,Technology,Machines,Customer_22,5,0.2,1056.84,106.64
ORD-1069,2023-04-06,West,Technology,Accessories,Customer_58,4,0.0,752.72,257.08
ORD-1070,2023-01-26,East,Furniture,Furnishings,Customer_19,8,0.3,2696.96,-308.71
ORD-1071,2024-10-06,West,Technology,Copiers,Customer_127,7,0.1,1597.99,96.3
ORD-1072,2023-06-01,East,Furniture,Furnishings,Customer_57,3,0.4,269.23,-69.71
ORD-1073,2023-02-21,West,Furniture,Furnishings,Customer_35,8,0.2,1975.62,80.61
ORD-1074,2024-03-29,South,Technology,Copiers,Customer_41,12,0.4,253.58,-47.27
ORD-1075,2024-04-05,North,Furniture,Bookcases,Customer_134,8,0.1,3276.36,137.18
ORD-1076,2023-10-09,South,Furniture,Bookcases,Customer_61,5,0.2,324.0,11.93
ORD-1077,2023-11-24,East,Furniture,Tables,Customer_60,7,0.0,3450.79,423.12
ORD-1078,2024-12-24,West,Furniture,Furnishings,Customer_105,6,0.4,1221.66,-50.72
ORD-1079,2024-03-01,East,Furniture,Furnishings,Customer_100,10,0.0,1264.4,339.45
ORD-1080,2024-08-12,South,Office Supplies,Binders,Customer_91,5,0.3,665.74,-0.21
ORD-1081,2024-03-05,West,Office Supplies,Paper,Customer_70,7,0.4,1345.81,-147.05
ORD-1082,2023-01-30,South,Office Supplies,Art,Customer_43,8,0.0,433.92,130.43
ORD-1083,2024-09-29,East,Office Supplies,Binders,Customer_22,11,0.3,1287.29,-172.55
ORD-1084,2023-05-19,South,Furniture,Chairs,Customer_67,7,0.2,167.89,11.29
ORD-1085,2023-08-05,South,Office Supplies,Storage,Customer_98,5,0.3,1197.03,-221.48
ORD-1086,2023-09-16,East,Office Supplies,Binders,Customer_139,1,0.2,208.74,-8.78
ORD-1087,2023-08-18,East,Technology,Phones,Customer_8,4,0.1,1174.07,26.19
ORD-1088,2023-01-21,West,Furniture,Tables,Customer_122,11,0.0,3834.16,636.55
ORD-1089,2024-07-31,West,Office Supplies,Storage,Customer_95,3,0.0,1407.0,128.4
ORD-1090,2023-06-17,North,Furniture,Chairs,Customer_80,10,0.3,1239.84,-193.36
ORD-1091,2024-02-11,West,Furniture,Tables,Customer_27,12,0.15,4723.62,912.61
ORD-1092,2024-12-01,East,Technology,Phones,Customer_89,9,0.3,859.26,6.87
ORD-1093,2024-11-08,North,Furniture,Bookcases,Customer_4,7,0.4,1723.85,-178.31
ORD-1094,2023-04-19,South,Office Supplies,Art,Customer_40,7,0.0,1886.71,231.23
ORD-1095,2024-06-18,Unknown,Technology,Copiers,Customer_120,7,0.15,330.94,65.91
ORD-1096,2023-11-27,West,Furniture,Bookcases,Customer_116,4,0.4,1082.88,-86.71
ORD-1097,2024-08-06,South,Office Supplies,Binders,Customer_127,6,0.0,1056.72,151.33
ORD-1098,2024-05-14,West,Office Supplies,Storage,Customer_88,5,0.15,1554.31,309.51
ORD-1099,2024-07-23,East,Technology,Machines,Customer_22,4,0.3,1245.08,54.74
ORD-1100,2024-05-15,West,Technology,Copiers,Customer_126,8,0.0,2596.8,195.39
ORD-1101,2023-04-06,North,Furniture,Furnishings,Customer_63,5,0.2,356.8,56.93
ORD-1102,2024-04-29,North,Office Supplies,Storage,Customer_91,12,0.4,2211.48,-591.0
ORD-1103,2023-10-05,North,Office Supplies,Paper,Customer_31,12,0.1,644.98,109.03
ORD-1104,2023-11-20,East,Technology,Machines,Customer_50,4,0.4,29.95,-6.64
ORD-1105,2023-10-11,North,Furniture,Tables,Customer_76,4,0.2,892.42,87.07
ORD-1106,2023-07-03,North,Furniture,Tables,Customer_71,1,0.0,329.46,137.75
ORD-1107,2024-07-20,North,Technology,Machines,Customer_126,2,0.0,717.94,87.0
ORD-1108,2024-08-10,North,Office Supplies,Art,Customer_113,6,0.0,1016.7,278.52
ORD-1109,2023-02-22,North,Office Supplies,Binders,Customer_17,7,0.4,1378.94,-21.01
ORD-1110,2023-03-17,East,Furniture,Tables,Customer_145,5,0.0,1661.15,366.27
ORD-1111,2023-09-12,East,Technology,Copiers,Customer_58,9,0.3,352.17,-28.06
ORD-1112,2024-04-06,South,Office Supplies,Art,Customer_79,10,0.0,1399.5,172.41
ORD-1113,2024-09-16,East,Furniture,Tables,Customer_68,11,0.0,5354.58,899.19
ORD-1114,2023-06-10,West,Furniture,Chairs,Customer_41,1,0.3,312.97,-0.21
ORD-1115,2024-04-06,South,Office Supplies,Binders,Customer_60,5,0.15,1697.7,137.16
ORD-1116,2024-12-20,South,Furniture,Tables,Customer_68,11,0.1,2897.53,341.2
ORD-1117,2024-03-11,East,Technology,Machines,Customer_39,5,0.0,528.35,140.93
ORD-1118,2023-03-15,East,Furniture,Bookcases,Customer_146,5,0.4,442.74,-116.31
ORD-1119,2023-05-08,South,Technology,Accessories,Customer_104,5,0.4,978.84,-212.28
ORD-1120,2024-03-24,East,Technology,Phones,Customer_111,12,0.2,4519.87,796.3
ORD-1121,2024-09-10,North,Furniture,Chairs,Customer_59,11,0.0,5041.08,811.85
ORD-1122,2024-11-19,North,Technology,Phones,Customer_45,8,0.4,84.34,0.72
ORD-1123,2023-10-12,West,Technology,Copiers,Customer_126,2,0.4,263.77,5.27
ORD-1124,2023-12-23,South,Office Supplies,Storage,Customer_27,3,0.2,1157.21,168.84
ORD-1125,2024-02-26,South,Office Supplies,Art,Customer_141,1,0.4,92.57,-14.3
ORD-1126,2023-04-01,North,Office Supplies,Storage,Customer_30,7,0.0,2989.42,433.69
ORD-1127,2024-11-04,South,Office Supplies,Binders,Customer_49,9,0.2,669.96,38.21
ORD-1128,2024-09-29,South,Technology,Copiers,Customer_14,4,0.15,1593.65,221.21
ORD-1129,2024-07-16,West,Office Supplies,Art,Customer_125,2,0.0,578.66,45.8
ORD-1130,2024-10-07,West,Technology,Machines,Customer_80,9,0.0,2802.15,972.39
ORD-1131,2024-07-19,South,Furniture,Tables,Customer_30,8,0.0,629.12,129.28
ORD-1132,2024-10-25,West,Office Supplies,Storage,Customer_131,12,0.15,4487.08,683.07
ORD-1133,2024-03-01,South,Office Supplies,Paper,Customer_117,9,0.0,3163.86,824.96
ORD-1134,2024-01-28,West,Technology,Machines,Customer_18,5,0.3,651.52,-66.4
ORD-1135,2023-12-15,North,Furniture,Bookcases,Customer_77,10,0.4,2439.54,-65.78
ORD-1136,2023-06-02,South,Technology,Copiers,Customer_89,6,0.3,1826.45,153.37
ORD-1137,2024-04-11,North,Furniture,Tables,Customer_147,7,0.1,1641.53,197.73
ORD-1138,2024-02-25,East,Office Supplies,Art,Customer_98,7,0.0,2808.12,687.96
ORD-1139,2024-05-22,East,Furniture,Bookcases,Customer_26,8,0.0,2831.68,817.61
ORD-1140,2024-06-22,South,Furniture,Tables,Customer_105,11,0.0,4907.1,742.93
ORD-1141,2023-03-18,Unknown,Office Supplies,Storage,Customer_102,11,0.0,2134.44,166.9
ORD-1142,2023-12-03,South,Office Supplies,Art,Customer_139,1,0.0,293.36,17.83
ORD-1143,2023-08-29,North,Furniture,Chairs,Customer_112,2,0.0,476.28,101.35
ORD-1144,2024-03-30,West,Technology,Accessories,Customer_8,1,0.2,120.33,8.09
ORD-1145,2023-02-27,North,Office Supplies,Storage,Customer_111,3,0.1,67.36,-1.27
ORD-1146,2024-06-27,South,Technology,Machines,Customer_44,3,0.0,1239.21,195.87
ORD-1147,2024-09-16,South,Technology,Machines,Customer_128,10,0.0,722.6,149.34
ORD-1148,2023-08-26,South,Technology,Accessories,Customer_118,5,0.0,1936.5,222.21
ORD-1149,2024-04-21,North,Technology,Machines,Customer_19,8,0.2,2017.41,-170.26
ORD-1150,2024-08-24,North,Technology,Copiers,Customer_65,8,0.15,240.18,21.47
ORD-1151,2023-07-23,South,Office Supplies,Binders,Customer_61,7,0.2,1539.5,125.05
ORD-1152,2024-08-11,North,Technology,Accessories,Customer_6,11,0.3,2816.51,289.41
ORD-1153,2023-10-09,East,Technology,Phones,Customer_128,5,0.1,1183.46,79.16
ORD-1154,2024-09-13,North,Furniture,Tables,Customer_65,11,0.0,4396.04,576.98
ORD-1155,2024-10-05,East,Technology,Phones,Customer_80,8,0.0,1800.8,132.43
ORD-1156,2024-08-16,North,Technology,Machines,Customer_24,5,0.2,89.68,16.03
ORD-1157,2024-03-01,West,Furniture,Tables,Customer_139,6,0.15,2140.11,297.03
ORD-1158,2023-06-18,North,Office Supplies,Storage,Customer_87,2,0.4,252.47,-55.04
ORD-1159,2023-03-19,West,Furniture,Furnishings,Customer_143,6,0.0,519.9,65.03
ORD-1160,2024-02-09,East,Office Supplies,Binders,Customer_117,6,0.15,1423.51,205.52
ORD-1161,2024-08-21,South,Technology,Accessories,Customer_28,11,0.1,3301.65,178.22
ORD-1162,2024-04-27,East,Technology,Accessories,Customer_57,11,0.0,5256.68,1426.5
ORD-1163,2024-10-12,South,Technology,Accessories,Customer_105,2,0.0,563.26,131.53
ORD-1164,2023-02-16,East,Office Supplies,Art,Customer_30,2,0.1,388.08,17.2
ORD-1165,2024-07-04,West,Office Supplies,Art,Customer_95,11,0.3,1420.11,53.05
ORD-1166,2024-08-24,West,Office Supplies,Binders,Customer_126,10,0.3,119.35,-18.52
ORD-1167,2023-10-14,East,Technology,Accessories,Customer_56,8,0.4,156.19,-40.26
ORD-1168,2023-08-30,North,Furniture,Bookcases,Customer_140,11,0.2,3776.78,381.82
ORD-1169,2023-03-04,South,Office Supplies,Paper,Customer_32,8,0.0,1938.8,153.84
ORD-1170,2024-11-09,West,Technology,Phones,Customer_13,6,0.1,1354.81,151.79
ORD-1171,2023-05-09,West,Furniture,Tables,Customer_56,4,0.2,303.58,6.12
ORD-1172,2023-06-01,East,Office Supplies,Paper,Customer_34,9,0.15,1570.32,180.2
ORD-1173,2023-06-28,East,Technology,Phones,Customer_34,1,0.2,256.96,-24.77
ORD-1174,2023-09-01,North,Furniture,Tables,Customer_68,1,0.0,193.56,46.02
ORD-1175,2024-03-07,East,Technology,Phones,Customer_122,8,0.2,1641.86,241.27
ORD-1176,2024-06-09,East,Office Supplies,Paper,Customer_12,12,0.15,3394.15,-71.68
ORD-1177,2024-04-14,East,Furniture,Furnishings,Customer_103,7,0.0,312.06,75.75
ORD-1178,2024-05-17,South,Furniture,Chairs,Customer_83,10,0.0,229.9,51.9
ORD-1179,2023-03-09,West,Office Supplies,Storage,Customer_98,10,0.15,4001.03,410.67
ORD-1180,2024-04-09,South,Furniture,Chairs,Customer_142,12,0.1,2162.16,352.4
ORD-1181,2024-03-16,South,Furniture,Furnishings,Customer_87,8,0.3,1313.42,-34.56
ORD-1182,2024-03-01,East,Office Supplies,Art,Customer_81,11,0.15,4406.84,201.97
ORD-1183,2024-01-19,West,Technology,Copiers,Customer_18,2,0.0,961.96,309.37
ORD-1184,2023-04-06,South,Furniture,Bookcases,Customer_34,9,0.0,953.46,67.51
ORD-1185,2024-08-23,North,Technology,Phones,Customer_106,6,0.3,249.4,-46.02
ORD-1186,2023-02-22,North,Technology,Accessories,Customer_91,2,0.1,101.3,17.72
ORD-1187,2023-06-08,South,Furniture,Chairs,Customer_90,9,0.2,323.14,-4.62
ORD-1188,2023-04-28,North,Technology,Machines,Customer_110,9,0.0,3815.91,217.44
ORD-1189,2024-09-15,North,Furniture,Tables,Customer_70,12,0.15,4172.72,60.74
ORD-1190,2023-12-14,North,Furniture,Tables,Customer_37,10,0.3,475.3,9.04
ORD-1191,2023-03-13,West,Technology,Phones,Customer_24,12,0.1,3436.34,801.5
ORD-1192,2024-01-21,South,Office Supplies,Storage,Customer_41,6,0.15,1887.92,322.92
ORD-1193,2023-11-29,East,Furniture,Tables,Customer_41,10,0.0,1482.0,152.99
ORD-1194,2024-11-21,East,Office Supplies,Art,Customer_109,8,0.4,1813.44,-50.68
ORD-1195,2024-02-29,North,Furniture,Chairs,Customer_89,7,0.0,3467.45,602.59
ORD-1196,2023-10-18,South,Technology,Accessories,Customer_12,4,0.3,538.41,23.11
ORD-1197,2024-09-05,East,Furniture,Tables,Customer_78,4,0.0,707.96,233.08
ORD-1198,2023-09-19,North,Office Supplies,Binders,Customer_2,8,0.3,2411.47,-147.83
ORD-1199,2023-06-29,West,Office Supplies,Paper,Customer_129,9,0.2,2721.1,316.63
ORD-1200,2023-03-15,South,Technology,Phones,Customer_112,1,0.4,36.32,0.03
ORD-1201,2023-03-21,North,Technology,Copiers,Customer_147,7,0.3,1262.09,73.12
ORD-1202,2023-10-24,East,Office Supplies,Binders,Customer_84,3,0.4,300.28,-0.4
ORD-1203,2024-12-07,North,Furniture,Furnishings,Customer_28,4,0.3,561.99,-104.95
ORD-1204,2024-08-26,South,Technology,Phones,Customer_102,5,0.2,1814.56,-149.91
ORD-1205,2023-08-15,North,Furniture,Chairs,Customer_131,11,0.0,1831.06,613.44
ORD-1206,2024-06-27,West,Office Supplies,Storage,Customer_38,4,0.0,1903.2,422.57
ORD-1207,2023-05-30,North,Furniture,Tables,Customer_40,11,0.0,3515.6,648.75
ORD-1208,2023-07-01,South,Office Supplies,Art,Customer_145,11,0.2,1352.3,-15.42
ORD-1209,2024-10-04,North,Furniture,Furnishings,Customer_18,8,0.4,1629.74,-72.18
ORD-1210,2024-10-08,North,Office Supplies,Binders,Customer_91,9,0.0,3580.83,1027.29
ORD-1211,2023-11-14,South,Office Supplies,Binders,Customer_15,6,0.15,278.92,21.85
ORD-1212,2023-03-20,East,Technology,Copiers,Customer_119,10,0.0,382.0,82.08
ORD-1213,2024-04-05,West,Office Supplies,Art,Customer_129,3,0.0,679.05,214.79
ORD-1214,2024-04-06,East,Office Supplies,Binders,Customer_130,11,0.0,2001.45,170.36
ORD-1215,2023-02-10,West,Technology,Copiers,Customer_113,9,0.0,720.63,200.66
ORD-1216,2024-01-08,North,Office Supplies,Art,Customer_105,6,0.0,1877.58,150.84
ORD-1217,2024-10-08,North,Furniture,Bookcases,Customer_25,9,0.3,322.62,6.55
ORD-1218,2023-10-18,North,Technology,Machines,Customer_86,2,0.0,91.3,27.08
ORD-1219,2023-12-25,North,Technology,Copiers,Customer_34,10,0.0,3560.6,264.93
ORD-1220,2023-11-14,South,Technology,Accessories,Customer_33,11,0.0,567.27,196.27
ORD-1221,2024-10-23,South,Technology,Accessories,Customer_5,6,0.15,986.29,40.63
ORD-1222,2023-07-04,West,Office Supplies,Art,Customer_50,4,0.0,1633.08,545.73
ORD-1223,2023-06-08,East,Office Supplies,Binders,Customer_130,9,0.0,4438.26,1225.02
ORD-1224,2024-11-08,North,Technology,Machines,Customer_97,3,0.0,583.11,43.76
ORD-1225,2023-07-05,West,Technology,Copiers,Customer_12,7,0.2,2188.48,125.88
ORD-1226,2024-11-23,West,Office Supplies,Storage,Customer_115,4,0.1,784.33,189.73
ORD-1227,2023-11-13,South,Furniture,Bookcases,Customer_147,8,0.4,309.55,-37.83
ORD-1228,2023-10-16,South,Technology,Copiers,Customer_42,4,0.0,62.24,11.86
ORD-1229,2023-09-14,East,Technology,Copiers,Customer_96,9,0.0,338.31,28.97
ORD-1230,2024-12-29,East,Office Supplies,Binders,Customer_42,5,0.4,202.77,-15.26
ORD-1231,2024-06-09,West,Office Supplies,Binders,Customer_57,8,0.2,2403.58,156.26
ORD-1232,2023-01-28,South,Furniture,Furnishings,Customer_129,6,0.1,2599.88,214.39
ORD-1233,2024-01-31,East,Office Supplies,Paper,Customer_8,6,0.0,900.0,279.52
ORD-1234,2024-10-27,Unknown,Furniture,Tables,Customer_10,5,0.4,358.68,6.8
ORD-1235,2024-12-13,West,Technology,Copiers,Customer_115,10,0.0,159.6,54.42
ORD-1236,2023-03-23,East,Office Supplies,Paper,Customer_39,9,0.3,196.24,15.18
ORD-1237,2023-04-24,North,Furniture,Bookcases,Customer_32,1,0.1,241.71,64.75
ORD-1238,2024-03-05,South,Furniture,Chairs,Customer_128,10,0.0,461.6,99.78
ORD-1239,2024-10-09,West,Technology,Machines,Customer_75,7,0.0,3394.72,702.47
ORD-1240,2024-09-21,North,Furniture,Furnishings,Customer_48,11,0.0,3502.51,906.19
ORD-1241,2024-06-20,North,Furniture,Chairs,Customer_100,8,0.0,1861.84,443.62
ORD-1242,2024-10-12,South,Office Supplies,Storage,Customer_5,6,0.0,1777.86,569.53
ORD-1243,2023-12-20,West,Technology,Phones,Customer_149,12,0.2,309.79,-7.97
ORD-1244,2023-05-17,East,Office Supplies,Storage,Customer_45,11,0.4,3139.62,-9.17
ORD-1245,2024-12-13,South,Technology,Machines,Customer_35,2,0.4,279.92,-23.5
ORD-1246,2023-02-07,North,Furniture,Chairs,Customer_52,1,0.2,116.74,-6.25
ORD-1247,2023-11-14,South,Technology,Copiers,Customer_65,1,0.1,213.49,16.23
ORD-1248,2023-10-20,North,Furniture,Bookcases,Customer_70,2,0.2,473.58,-41.05
ORD-1249,2024-03-23,South,Technology,Copiers,Customer_99,6,0.0,2924.7,1011.55
ORD-1250,2024-05-23,South,Office Supplies,Storage,Customer_22,12,0.3,2957.64,-86.28
ORD-1251,2023-03-22,South,Technology,Machines,Customer_140,5,0.2,646.68,86.74
ORD-1252,2023-04-16,East,Office Supplies,Storage,Customer_79,8,0.3,1934.91,-273.24
ORD-1253,2023-06-20,South,Office Supplies,Art,Customer_11,12,0.2,4380.96,599.15
ORD-1254,2024-09-21,South,Office Supplies,Binders,Customer_20,11,0.3,3660.58,101.46
ORD-1255,2024-01-08,West,Furniture,Tables,Customer_113,1,0.0,310.57,54.5
ORD-1256,2023-03-10,West,Technology,Accessories,Customer_93,7,0.0,3269.28,1012.89
ORD-1257,2024-09-11,West,Technology,Copiers,Customer_95,6,0.4,115.78,-30.34
ORD-1258,2023-03-20,West,Technology,Accessories,Customer_102,6,0.15,991.8,171.75
ORD-1259,2023-09-13,East,Furniture,Tables,Customer_128,9,0.3,3110.75,-450.67
ORD-1260,2024-07-29,East,Office Supplies,Storage,Customer_115,4,0.15,1023.81,45.32
ORD-1261,2024-12-11,South,Furniture,Chairs,Customer_35,2,0.4,582.31,-10.11
ORD-1262,2023-06-26,South,Furniture,Bookcases,Customer_89,12,0.0,5049.36,137.75
ORD-1263,2024-07-17,Unknown,Office Supplies,Paper,Customer_45,6,0.1,1151.6,59.91
ORD-1264,2023-05-05,West,Furniture,Tables,Customer_127,1,0.2,30.1,4.5
ORD-1265,2024-07-21,North,Office Supplies,Paper,Customer_23,2,0.15,694.14,159.59
ORD-1266,2024-02-12,South,Technology,Copiers,Customer_105,10,0.0,4983.5,1079.57
ORD-1267,2023-05-09,North,Technology,Phones,Customer_116,8,0.2,2475.52,158.19
ORD-1268,2023-05-12,West,Furniture,Furnishings,Customer_129,1,0.0,426.33,52.95
ORD-1269,2024-06-14,West,Office Supplies,Paper,Customer_42,6,0.1,1246.16,10.9
ORD-1270,2023-12-21,North,Furniture,Bookcases,Customer_51,11,0.15,4464.53,499.37
ORD-1271,2023-05-09,North,Technology,Phones,Customer_129,11,0.0,1342.33,337.61
ORD-1272,2024-08-29,West,Furniture,Bookcases,Customer_145,1,0.0,312.88,49.26
ORD-1273,2023-03-25,East,Technology,Accessories,Customer_54,10,0.3,459.48,5.27
ORD-1274,2024-09-24,East,Office Supplies,Storage,Customer_78,8,0.1,1907.64,384.76
ORD-1275,2024-12-02,South,Office Supplies,Art,Customer_19,12,0.0,3178.56,971.54
ORD-1276,2023-06-11,South,Office Supplies,Art,Customer_119,4,0.2,897.38,52.3
ORD-1277,2024-09-13,West,Office Supplies,Storage,Customer_89,7,0.0,3076.92,526.29
ORD-1278,2024-01-15,East,Office Supplies,Paper,Customer_120,2,0.15,128.64,-7.89
ORD-1279,2024-04-05,West,Furniture,Chairs,Customer_13,5,0.3,1330.07,-5.2
ORD-1280,2024-09-22,South,Furniture,Tables,Customer_84,10,0.2,2840.0,-130.95
ORD-1281,2023-07-14,West,Office Supplies,Art,Customer_128,5,0.4,230.46,-61.22
ORD-1282,2023-01-24,East,Office Supplies,Art,Customer_62,4,0.2,581.73,38.96
ORD-1283,2023-02-19,East,Office Supplies,Art,Customer_121,5,0.0,1011.0,183.24
ORD-1284,2023-04-21,South,Furniture,Bookcases,Customer_94,7,0.2,2537.02,-14.01
ORD-1285,2023-02-16,South,Furniture,Tables,Customer_93,9,0.15,2003.15,330.71
ORD-1286,2023-03-17,South,Technology,Copiers,Customer_141,5,0.0,1021.55,241.73
ORD-1287,2023-05-12,East,Office Supplies,Storage,Customer_87,9,0.2,3114.43,544.58
ORD-1288,2023-05-28,West,Technology,Copiers,Customer_129,1,0.0,82.07,26.92
ORD-1289,2023-02-09,West,Technology,Accessories,Customer_122,9,0.4,1356.16,-261.1
ORD-1290,2023-06-02,West,Office Supplies,Storage,Customer_42,7,0.15,1398.13,313.19
ORD-1291,2024-08-30,North,Technology,Copiers,Customer_145,5,0.4,754.14,-129.24
ORD-1292,2023-01-18,North,Office Supplies,Binders,Customer_107,10,0.15,2723.14,5.57
ORD-1293,2024-12-05,East,Technology,Copiers,Customer_68,11,0.1,466.98,4.05
ORD-1294,2023-02-22,South,Furniture,Furnishings,Customer_38,11,0.1,720.13,11.21
ORD-1295,2023-02-02,East,Furniture,Chairs,Customer_113,6,0.3,327.73,0.74
ORD-1296,2023-06-05,South,Technology,Machines,Customer_106,9,0.4,535.25,-89.01
